pattern,rows,reversal_rate,continuation_rate,directional_accuracy,mean_fan_velocity_oscillation_strength
+++,16,0.25,0.75,0.75,122.54746641857855
++-,57,0.5087719298245614,0.49122807017543857,0.38095238095238093,174.5931828993586
+-+,99,0.5555555555555556,0.4444444444444444,0.5277777777777778,192.5020293432355
+--,59,0.4576271186440678,0.5423728813559322,0.6896551724137931,180.02394671325686
+00,1,0.0,1.0,0.0,1.8489545993797947
-++,57,0.40350877192982454,0.5964912280701754,0.6428571428571429,176.86475799087688
-+-,100,0.57,0.43,0.625,194.3423172377421
-+0,1,0.0,1.0,0.0,9.77933268455672
--+,59,0.5932203389830508,0.4067796610169492,0.21052631578947367,189.8324973686281
---,25,0.28,0.72,0.8181818181818182,105.2390515220305
0++,1,0.0,1.0,0.0,78.16525755745533
0+-,1,0.0,1.0,1.0,26.18876290874323
00+,2,1.0,0.0,0.0,40.866692722753214
000,8,0.125,0.875,0.0,0.0
