src_meta_epoch,v21_trend,v21_reason,v21_bull_raw,v21_bull_raw,v21_bear_raw,v21_sep
316594,Neutral,NEU_WEAK_CONTINUATION_BOTH,0.0456269166666667,0.0456269166666667,0.0506269166666667,0.005
303555,Neutral,NEU_WEAK_CONTINUATION_BOTH,0.0456269166666667,0.0456269166666667,0.0506269166666667,0.005
322714,Neutral,NEU_WEAK_CONTINUATION_BOTH,0.0456269166666667,0.0456269166666667,0.0506269166666667,0.005
322086,Neutral,NEU_WEAK_CONTINUATION_BOTH,0.0456269166666667,0.0456269166666667,0.0506269166666667,0.005
315308,Neutral,NEU_WEAK_CONTINUATION_BOTH,0.0456269166666667,0.0456269166666667,0.0506269166666667,0.005
315289,Neutral,NEU_WEAK_CONTINUATION_BOTH,0.0456269166666667,0.0456269166666667,0.0506269166666667,0.005
304289,Neutral,NEU_WEAK_CONTINUATION_BOTH,0.0456269166666667,0.0456269166666667,0.0506269166666667,0.005
304235,Neutral,NEU_WEAK_CONTINUATION_BOTH,0.0456269166666667,0.0456269166666667,0.0506269166666667,0.005
305042,Neutral,NEU_WEAK_CONTINUATION_BOTH,0.0456269166666667,0.0456269166666667,0.0506269166666667,0.005
305773,Neutral,NEU_WEAK_CONTINUATION_BOTH,0.0456269166666667,0.0456269166666667,0.0506269166666667,0.005
