src_meta_epoch,v21_trend,v21_reason,v21_compression_trap_score,v21_bull_raw,v21_bear_raw,v21_sep
309141,Neutral,NEU_BEAR_INVALIDATED,0.245,0.19075675,0.3734867499999999,0.1827299999999999
323014,Neutral,NEU_BULL_INVALIDATED,0.245,0.3861251576866644,0.2445601576866645,0.1415649999999998
323006,Neutral,NEU_BEAR_INVALIDATED,0.245,0.2293103461551611,0.4126853461551609,0.1833749999999998
322999,Neutral,NEU_BEAR_INVALIDATED,0.245,0.2219123333333333,0.4518706666666665,0.2299583333333332
323030,Neutral,NEU_BEAR_INVALIDATED,0.245,0.2167302499999999,0.4343402499999999,0.2176099999999999
323027,Neutral,NEU_BULL_INVALIDATED,0.245,0.3680652499999999,0.18145525,0.1866099999999999
323017,Neutral,NEU_BEAR_INVALIDATED,0.245,0.222577080909975,0.3949987475766416,0.1724216666666666
323016,Neutral,NEU_BULL_INVALIDATED,0.245,0.346037740131315,0.2262010734646484,0.1198366666666666
302170,Neutral,NEU_BULL_INVALIDATED,0.245,0.4600739999999998,0.225569,0.2345049999999998
302165,Neutral,NEU_BEAR_INVALIDATED,0.245,0.2235812499999999,0.3894412499999999,0.1658599999999999
