src_meta_epoch,v21_trend,v21_reason,v21_bear_invalidators,v21_bull_raw,v21_bear_raw,v21_sep
315344,Neutral,NEU_BEAR_INVALIDATED,0.0913625,0.1898510318628407,0.3139876985295073,0.1241366666666666
320832,Neutral,NEU_BEAR_INVALIDATED,0.0918125,0.1838661835520463,0.3086228502187129,0.1247566666666665
302163,Neutral,NEU_BEAR_INVALIDATED,0.0950375,0.19901625,0.33325625,0.1342399999999999
306790,Neutral,NEU_BEAR_INVALIDATED,0.0950375,0.19216525,0.3781552499999999,0.1859899999999999
308757,Neutral,NEU_BEAR_INVALIDATED,0.0950375,0.19901625,0.33325625,0.1342399999999999
317395,Neutral,NEU_BEAR_INVALIDATED,0.0950375,0.19529025,0.3812802499999999,0.1859899999999999
311930,Neutral,NEU_BEAR_INVALIDATED,0.0950375,0.19529025,0.3812802499999999,0.1859899999999999
311998,Neutral,NEU_BEAR_INVALIDATED,0.0950375,0.19529025,0.3812802499999999,0.1859899999999999
306932,Neutral,NEU_BEAR_INVALIDATED,0.0950375,0.19529025,0.3812802499999999,0.1859899999999999
318902,Neutral,NEU_BEAR_INVALIDATED,0.0950375,0.19529025,0.3812802499999999,0.1859899999999999
